"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
32,"Paul Pierce",61.3155783189897,2.51373554507059,"SF",50715,1420,18,4,"piercpa01"
33,"Chauncey Billups",59.6738761710883,1.3453749765879,"PG",38329,1189,17,7,"billuch01"
34,"Kevin Durant",57.6380736957328,4.65762160904702,"SF",24998,650,9,2,"duranke01"
35,"Dan Issel",57.3276324836066,2.60180000614588,"C",46506,1351,15,3,"isselda01"
36,"Pau Gasol",56.6043562725022,2.9233942418589,"C",39632,1110,15,3,"gasolpa01"
37,"Gary Payton",56.386249553896,1.33080974224096,"PG",52598,1489,17,5,"paytoga01"
38,"Rick Barry",55.8578622531103,2.75076070598687,"SF",42214,1125,14,6,"barryri01"
39,"Ray Allen",55.0502752024265,2.82026100793008,"SG",52408,1471,18,4,"allenra02"
40,"Moses Malone",54.7482246172904,1.890089041093,"C",53475,1555,21,9,"malonmo01"
41,"Bob Lanier",54.5508496925468,4.01995429310725,"C",34464,1026,14,2,"laniebo01"
42,"Bobby Jones",53.371779605158,3.64993876000682,"PF",30018,1092,12,3,"jonesbo01"
43,"Adrian Dantley",51.8615573112184,2.17445378616328,"SF",36666,1028,15,7,"dantlad01"
44,"Neil Johnston",51.4240953071848,4.02281538040566,"C",19000,539,8,1,"johnsne01"
45,"Sam Jones",50.5952543828137,3.67109094312437,"SG",28939,1025,12,1,"jonessa01"
46,"Kevin McHale",50.2013520399965,3.14316072669822,"PF",35834,1140,13,1,"mchalke01"
47,"Horace Grant",50.0514173458895,2.34314352241869,"PF",44793,1335,17,4,"grantho01"
48,"Tracy McGrady",48.4621489274992,2.05788512796143,"SG",32382,988,16,7,"mcgratr01"
49,"Ben Wallace",47.8306389211553,2.41392081324333,"C",36609,1218,16,6,"wallabe01"
50,"Zelmo Beaty",47.6439951365992,2.97774202348908,"C",34021,1004,12,4,"beatyze01"
51,"Larry Nance",47.6036208350624,3.10160615794973,"PF",33125,988,13,2,"nancela01"
52,"Jeff Hornacek",47.0776059522902,2.65342836818559,"SG",38730,1217,14,3,"hornaje01"
53,"Wes Unseld",45.9760517525354,2.24720896353857,"C",40721,1103,13,3,"unselwe01"
54,"Bailey Howell",45.9083197699282,2.01463520437206,"PF",33349,1036,12,4,"howelba01"
55,"Paul Arizin",45.0716308520263,3.62392324352531,"SF",26712,695,9,1,"arizipa01"
56,"Shawn Marion",44.9715247729116,1.49669708633289,"SF",43934,1272,16,5,"mariosh01"
57,"Elgin Baylor",44.3273227029495,0.593284423741641,"SF",39373,980,14,2,"bayloel01"
58,"George Mikan",43.5738046197505,5.97862140162361,"C",9850,284,4,1,"mikange01"
59,"Cliff Hagan",43.2337901922926,3.06122484179452,"SF",27154,934,13,2,"hagancl01"
60,"Patrick Ewing",43.020517723965,1.26620385140396,"C",45801,1322,17,3,"ewingpa01"
61,"Dwight Howard",42.6933150232847,2.73704673990239,"C",32276,902,12,3,"howardw01"
62,"Chet Walker",42.382977461484,2.12832784962574,"SF",37121,1137,13,3,"walkech01"
63,"Vince Carter",40.9595427089513,1.56933422820173,"SG",43131,1295,18,6,"cartevi01"
64,"Elton Brand",40.1661756848154,1.17358969860695,"PF",35828,1081,16,5,"brandel01"
65,"Bill Sharman",40.0992708129767,3.89187545739358,"SG",24366,758,10,1,"sharmbi01"
66,"Sidney Moncrief",39.9216316068702,2.41143047986367,"SG",26376,860,11,2,"moncrsi01"
67,"Robert Parish",39.1273339224028,1.25285999673101,"C",51881,1795,21,4,"parisro01"
68,"John Havlicek",38.8935396288747,1.70750487127989,"SF",53331,1442,16,1,"havlijo01"
69,"Walt Bellamy",38.8133598000002,1.83749718823489,"C",40879,1089,14,7,"bellawa01"
70,"James Harden",38.4409339795053,4.27274198498691,"SG",17590,538,7,2,"hardeja01"
71,"Eddie Jones",36.6855040091172,2.03951226586028,"SG",35543,1035,14,5,"jonesed02"
72,"Chris Webber",36.5957332120948,1.54562316986798,"PF",33747,911,15,6,"webbech01"
73,"Marques Johnson",36.2880328279926,2.45824002201574,"SF",25806,745,11,3,"johnsma01"
74,"Stephen Curry",35.7543381257278,5.0399459723411,"PG",16704,471,7,1,"curryst01"
75,"Terry Porter",35.7209377584543,1.42444544949629,"PG",39293,1398,17,4,"portete01"
