"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
421,"K.C. Jones",2.54588190211578,599,0.642124794653663,210,1.90375710746212,-0.93966257488937,1.09363262367635,"PG",25.6081946222791,20000,781,9,1959,1967,"BOS",1,"joneskc01"
422,"Jon Barry",2.53576019558247,390,2.21375540705899,517,0.322004788523481,-0.536922757543128,1.00124453167293,"SG",16.7701019252548,14808,883,14,1993,2006,"SAC",8,"barryjo01"
423,"Kelly Tripucka",2.53391260233743,377,2.40332508297867,695,0.130587519358762,-0.0731766377827872,0.930609825241529,"SF",29.6571038251366,21709,732,10,1982,1991,"DET",3,"tripuke01"
424,"Chuck Hayes",2.53203893245757,382,2.343265011135,626,0.188773921322571,-0.179681938976597,1.55635516945186,"C",18.2681481481481,12331,675,11,2006,2016,"HOU",3,"hayesch01"
425,"Derrick Favors",2.52790927814633,370,2.52637096347901,1171,0.0015383146673193,0.362832590459177,1.36986231676176,"PF",25.2323759791123,9664,383,6,2011,2016,"UTA",2,"favorde01"
426,"Bill Bridges",2.52005709466749,474,1.39199138322658,287,1.12806571144091,-1.11719196937637,0.957344226231894,"PF",33.1077959576516,34399,1039,13,1963,1975,"STL",5,"bridgbi01"
427,"Cedric Ceballos",2.46840509634069,404,2.01989857075687,454,0.448506525583819,-0.574488592292797,1.14762286502881,"SF",23.8398203592814,15925,668,11,1991,2001,"PHO",5,"cebalce01"
428,"Carl Braun",2.46182948720838,373,2.46182948720838,2593,0,-0.287173347708306,0.907501078058621,"PG",29.7183098591549,18990,639,10,1953,1962,"NYK",2,"braunca01"
429,"Bob Houbregs",2.44653835671646,494,1.19123399012085,261,1.25530436659561,-0.484594490696469,1.25530436659561,"C",24.4458333333333,5867,240,5,1954,1958,"FTW",4,"houbrbo01"
430,"Rudy Tomjanovich",2.44401716685021,393,2.19477079061676,571,0.249246376233454,-0.578060839131493,1.58888520071047,"PF",33.2360248447205,26755,805,11,1971,1981,"HOU",2,"tomjaru01"
431,"Marvin Webster",2.44033030428538,481,1.33431393890081,292,1.10601636538456,-0.582797223431623,1.16711118000313,"C",21.9778761061947,14901,678,10,1976,1987,"NYK",5,"webstma01"
432,"Antonio Daniels",2.43740780645064,605,0.619684560870948,216,1.8177232455797,-1.26943343556211,0.827101280590555,"PG",22.6134453781513,21528,952,13,1998,2011,"SAS",7,"daniean01"
433,"Johnny Green",2.43171004185508,389,2.2424041295135,624,0.189305912341577,-0.763385176109353,1.02982777273744,"PF",23.196843082637,24983,1077,14,1960,1973,"NYK",6,"greenjo01"
434,"Rick Mahorn",2.42895450838093,514,1.05723524689367,248,1.37171926148726,-0.856177958203675,0.88529158578484,"PF",23.0645952575634,28208,1223,18,1981,1999,"DET",4,"mahorri01"
435,"Oliver Miller",2.421247839329,430,1.74246288740769,381,0.678784951921316,-0.247667523539909,1.3310115756658,"C",22.260147601476,12065,542,9,1993,2004,"PHO",6,"milleol01"
436,"Don Buse",2.41734568872758,387,2.2738470679925,679,0.143498620735084,-0.939840330181616,1.27180398452439,"PG",26.9790476190476,28328,1050,13,1973,1985,"INA",5,"busedo01"
437,"Dave Greenwood",2.39534617337842,413,1.91064182718131,437,0.484704346197113,-0.331517964336258,0.788300549258589,"PF",28.2934911242604,23908,845,12,1980,1991,"CHI",4,"greenda01"
438,"Rod Higgins",2.36489201422637,491,1.20086427686334,280,1.16402773736303,-0.449953322407091,1.16017531783509,"SF",22.0714285714286,17922,812,13,1983,1995,"GSW",7,"higgiro01"
439,"Danilo Gallinari",2.35052013710031,381,2.35052013710031,2593,0,0.617770150618855,1.02967666428184,"SF",30.2567567567568,11195,370,7,2009,2016,"DEN",2,"gallida01"
440,"Klay Thompson",2.31547305296058,466,1.45947048215362,335,0.856002570806957,0.00872538184737283,1.28840858013518,"SG",32.8555555555556,11828,360,5,2012,2016,"GSW",1,"thompkl01"
441,"Nick Collison",2.30871209605331,653,0.467127094314266,214,1.84158500173904,-0.377700770430275,1.16182850367123,"C",21.2398239823982,19307,909,12,2005,2016,"OKC",2,"collini01"
442,"Dick Van Arsdale",2.30675847208766,384,2.30675847208766,2593,0,-0.780566871236772,0.75643248166063,"SG",34.2816753926702,32739,955,12,1966,1977,"PHO",2,"vanardi01"
443,"Nick Van Exel",2.30001931362406,506,1.1093012543518,274,1.19071805927226,-0.904495129566055,1.03777364723272,"PG",32.8023012552301,31359,956,13,1994,2006,"LAL",6,"vanexni01"
444,"Rodney Rogers",2.27609493786639,488,1.22106736026935,299,1.05502757759704,-0.906301190711686,0.972621091489261,"SF",24.8839662447257,23590,948,12,1994,2005,"LAC",7,"rogerro01"
445,"Eric Murdock",2.25398890343978,395,2.13386296421197,715,0.120125939227805,-0.100322969184908,1.21462979923988,"PG",23.2906976744186,12018,516,9,1992,2000,"MIL",7,"murdoer01"
446,"Steve Kerr",2.22012214710555,490,1.21474100965443,307,1.00538113745112,-0.95628006021287,0.653805550103003,"PG",17.5375722543353,18204,1038,15,1989,2003,"CHI",6,"kerrst01"
447,"Al Cervi",2.15371340303058,435,1.70265907732604,452,0.451054325704536,2.99249596678828,1.20764956127702,"PG",12.421568627451,1267,102,2,1952,1953,"SYR",1,"cervial01"
