"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1669,"Lou Amundson",0.0542301334644462,2775,0,1355,0.0542301334644462,-2.18349932269808,0.0481751087842267,"PF",13.0552995391705,5666,434,10,2007,2016,"PHI",11,"amundlo01"
1670,"Shelden Williams",0.0539002853713336,1325,0.0539002853713336,2764,0,-2.37462594285339,0.0539002853713336,"PF",15.2926829268293,5643,369,6,2007,2012,"ATL",7,"willish02"
1671,"Mike Penberthy",0.0529676175413703,1329,0.0529676175413703,2764,0,-1.71526357715099,0.0529676175413703,"PG",15.4107142857143,863,56,2,2001,2002,"LAL",1,"penbemi01"
1672,"Julian Wright",0.0529567574923507,2775,0,1356,0.0529567574923507,-2.11401783033716,0.0529567574923507,"SF",13.0569105691057,3212,246,4,2008,2011,"NOH",2,"wrighju01"
1673,"Anthony Randolph",0.0529525625337317,2775,0,1357,0.0529525625337317,-2.15607973119773,0.0529525625337317,"PF",15.0622568093385,3871,257,6,2009,2014,"DEN",4,"randoan01"
1674,"John Battle",0.0522460427042401,2775,0,1358,0.0522460427042401,-2.54650775278539,0.0522460427042401,"SG",17.4347826086957,11629,667,10,1986,1995,"ATL",2,"battljo01"
1675,"Clay Johnson",0.0522109643847184,2775,0,1359,0.0522109643847184,-3.3729376201933,0.0522109643847184,"SG",7.78350515463918,755,97,3,1982,1984,"LAL",2,"johnscl02"
1676,"Mickey Davis",0.0519929007077483,1330,0.0519929007077483,2764,0,-1.41177361229137,0.0519929007077483,"SF",12.5333333333333,4136,330,6,1972,1977,"MIL",2,"davismi02"
1677,"Brian Brunkhorst",0.0517076529322946,1331,0.0517076529322946,2764,0,2.72851296945099,0.0517076529322946,"F",18.6666666666667,56,3,1,1969,1969,"LAS",1,"brunkbr01"
1678,"Lorenzo Charles",0.0514938905073124,2775,0,1360,0.0514938905073124,-2.83857528560543,0.0514938905073124,"SF",7.2,288,40,1,1986,1986,"ATL",1,"charllo01"
1679,"Jay Miller",0.0514435660123948,1332,0.0514435660123948,2764,0,-3.4230170443713,0.0514435660123948,"SF",10.0534351145038,1317,131,4,1968,1971,"INA",4,"milleja01"
1680,"Glenn Mosley",0.05136201342078,2775,0,1361,0.05136201342078,-3.38890298976853,0.05136201342078,"PF",7.08571428571429,248,35,2,1978,1979,"SAS",2,"moslegl01"
1681,"Kyle O'Quinn",0.0512988063635405,1333,0.0512988063635405,2764,0,-0.615065210671844,0.0512988063635405,"C",14.8994708994709,2816,189,4,2013,2016,"ORL",2,"oquinky01"
1682,"Othello Hunter",0.051186474536898,2775,0,1362,0.051186474536898,-4.66456165300515,0.051186474536898,"PF",5.14814814814815,139,27,2,2009,2010,"ATL",1,"hunteot01"
1683,"Major Jones",0.0508367206256371,2775,0,1363,0.0508367206256371,-2.69540190133291,0.0472488166094328,"PF",13.295165394402,5225,393,6,1980,1985,"HOU",2,"jonesma01"
1684,"Dick Cunningham",0.0507465496453588,2775,0,1365,0.0507465496453588,-3.40586711032973,0.0507465496453588,"C",10.2415584415584,3943,385,7,1969,1975,"MIL",2,"cunnidi01"
1685,"George Johnson",0.0506740659754855,2775,0,1366,0.0506740659754855,-2.25812611719895,0.0506740659754855,"C",15.5761589403974,2352,151,4,1971,1974,"BAL",3,"johnsge01"
1686,"Dominic McGuire",0.0506159001416724,2775,0,1367,0.0506159001416724,-2.43295122431894,0.0506159001416724,"SF",15.5449275362319,5363,345,6,2008,2013,"WAS",7,"mcguido01"
1687,"Korleone Young",0.05042879086732,1334,0.05042879086732,2764,0,5.0343032693856,0.05042879086732,"SF",5,15,3,1,1999,1999,"DET",1,"youngko01"
1688,"Mark Strickland",0.0499771883666699,1368,0.0351829752717274,1462,0.0147942130949425,-2.42956578100651,0.0351829752717274,"PF",11.9484536082474,3477,291,8,1995,2003,"MIA",6,"stricma01"
1689,"Christian Eyenga",0.0495100281059904,2775,0,1369,0.0495100281059904,-4.49854912738958,0.0495100281059904,"SF",19.5925925925926,1058,54,2,2011,2012,"CLE",2,"eyengch01"
1690,"Mark Pope",0.0490042977759271,2775,0,1370,0.0490042977759271,-3.34782931584464,0.0310587245539059,"PF",10.3734939759036,1722,166,6,1998,2005,"IND",3,"popema01"
1691,"John Coker",0.0488753304549941,1336,0.0488753304549941,2764,0,-6.96971748626873,0.0488753304549941,"C",5.64,141,25,3,1996,2001,"GSW",3,"cokerjo01"
1692,"Kennard Winchester",0.0483189290901831,1337,0.0483189290901831,2764,0,-4.33777311005965,0.0483189290901831,"SF",8.312,1039,125,3,1991,1993,"HOU",2,"winchke01"
1693,"Maalik Wayns",0.0478192610455898,1338,0.0478192610455898,2764,0,-8.95877638579763,0.0329721995285146,"PG",7.27586206896552,211,29,2,2013,2014,"LAC",2,"waynsma01"
1694,"Sam Mitchell",0.0471566551079074,1340,0.0471566551079074,2764,0,-1.5462013441109,0.0471566551079074,"SF",21.9477682811016,23111,1053,13,1990,2002,"MIN",2,"mitchsa01"
1695,"Dorie Murrey",0.047091114064974,2775,0,1372,0.047091114064974,-2.61931782583424,0.047091114064974,"PF",12.2433155080214,4579,374,6,1967,1972,"BAL",4,"murredo01"
1696,"Gene Tormohlen",0.0467313434771724,2775,0,1374,0.0467313434771724,-4.04221635112887,0.0467313434771724,"C",11.4208754208754,3392,297,6,1963,1970,"STL",2,"tormobu01"
1697,"Lucas Nogueira",0.046700351481798,1342,0.046700351481798,2764,0,-4.41438571723317,0.046700351481798,"C",3.5,28,8,2,2015,2016,"TOR",1,"noguelu01"
1698,"Chad Gallagher",0.0460557357004219,1343,0.0460557357004219,2764,0,31.2125626194767,0.0460557357004219,"C",1.5,3,2,1,1994,1994,"UTA",1,"gallach01"
1699,"Scooter McCray",0.0458760202408379,2775,0,1376,0.0458760202408379,-3.73338208284202,0.0458760202408379,"PF",11.4814814814815,930,81,3,1984,1987,"SEA",2,"mccrasc01"
1700,"Kyrylo Fesenko",0.0456661318901732,1344,0.0456661318901732,2764,0,-4.43368424873448,0.0456661318901732,"C",8.88275862068966,1288,145,5,2008,2012,"UTA",2,"fesenky01"
