"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
94,"Dominique Wilkins",36.390905935576,2.39814961763608,5.6001606595964,"SF",35.6504424778761,40285,1130,15,1983,1999,5,"wilkido01"
95,"Shawn Kemp",36.2319035327314,1.96190291216715,6.07914265215865,"PF",28.2967515364355,32230,1139,14,1990,2003,4,"kempsh01"
96,"Andrei Kirilenko",35.6571570572194,3.5278803627121,7.71695813076737,"SF",29.8204225352113,25407,852,13,2002,2015,3,"kirilan01"
97,"Vlade Divac",35.6484538032388,2.46758047360585,4.47935761471168,"C",29.9330677290837,37566,1255,16,1990,2005,3,"divacvl01"
98,"James Worthy",35.0724687983201,1.93765280442162,4.17390759492432,"SF",33.0196445275959,35298,1069,12,1983,1994,1,"worthja01"
99,"Russell Westbrook",35.0176638025326,3.68701814214066,8.24128139347541,"PG",34.4410256410256,20148,585,8,2009,2016,1,"westbru01"
100,"Bob McAdoo",34.7219400274816,2.1320982921813,8.50711191193703,"C",32.8128964059197,31041,946,14,1973,1986,7,"mcadobo01"
101,"Robert Horry",34.5357890898603,1.98617964427224,3.52270980445548,"PF",25.0866025166543,33892,1351,16,1993,2008,4,"horryro01"
102,"Maurice Cheeks",34.4077821169177,2.08933014604884,3.21365394367932,"PG",32.1661264181524,39693,1234,15,1979,1993,5,"cheekma01"
103,"Jack Sikma",34.2862880808733,2.30748601923435,5.1547632833443,"C",33.4995864350703,40501,1209,14,1978,1991,2,"sikmaja01"
104,"Dennis Rodman",33.631378649205,2.58015511169122,6.03797576816141,"PF",31.137037037037,33628,1080,14,1987,2000,5,"rodmade01"
105,"Hal Greer",33.3924396186126,1.78747715384631,4.30010306616632,"SG",35.7742998352554,43430,1214,15,1959,1973,2,"greerha01"
106,"Vern Mikkelsen",33.102762530526,3.11216317736484,7.10991749524083,"PF",32.4565560821485,20545,633,8,1952,1959,1,"mikkeve01"
107,"Cedric Maxwell",32.8422847131919,2.74092646045953,5.71187054913716,"SF",28.281750266809,26500,937,11,1978,1988,3,"maxwece01"
108,"Anfernee Hardaway",32.7758030203566,2.29308513481968,7.66317324000166,"SG",34.3111979166667,26351,768,14,1994,2008,4,"hardaan01"
109,"George Yardley",32.3074124895655,3.60211364110724,5.96458279042933,"SF",33.7065637065637,17460,518,7,1954,1960,3,"yardlge01"
110,"Mookie Blaylock",32.2979345797897,2.07659072913771,7.68263309311535,"PG",35.1930010604454,33187,943,13,1990,2002,3,"blaylmo01"
111,"Bob Dandridge",32.2135721859828,2.1442136285249,3.446417445101,"SF",35.6286019210245,33384,937,13,1970,1982,2,"dandrbo01"
112,"Hersey Hawkins",32.0116161939334,2.28119330492867,4.439625322964,"SG",32.6991485335856,34563,1057,13,1989,2001,4,"hawkihe01"
113,"Mel Daniels",31.4030565958351,2.30551937135378,4.45213825678852,"C",35.25,26367,748,9,1968,1977,4,"danieme01"
114,"Bill Laimbeer",31.284190235077,2.195618272616,3.59506452907824,"C",31.9144792548688,37691,1181,14,1981,1994,2,"laimbbi01"
115,"Detlef Schrempf",31.1090826159846,2.14061840861764,5.44446538646774,"SF",29.548,36935,1250,16,1986,2001,4,"schrede01"
116,"Tim Hardaway",30.7304863683318,2.22562766347395,6.20015249458114,"PG",35.4041170097508,32678,923,13,1990,2003,5,"hardati01"
117,"Baron Davis",30.7123878706999,2.09550430608848,4.1342797715682,"PG",34.3988700564972,30443,885,13,2000,2012,6,"davisba01"
