Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
143,Bobby Wanzer,26.46939229,196,14.0335648,101,12.43582749,2.924300167,6.818510651,SG,32.83375959,12838,391,6,1952,1957,ROC,1,wanzebo01
144,Sam Perkins,26.4309405,182,15.67590573,120,10.75503477,1.510760817,5.074605669,PF,28.48107364,41383,1453,17,1985,2001,SEA,4,perkisa01
145,Billy Cunningham,26.33662121,131,20.95223114,229,5.384390065,2.416501604,4.638908402,SF,34.70145631,28594,824,11,1966,1976,PHI,2,cunnibi01
146,Steve Smith,25.63579043,167,17.55456739,154,8.081223034,1.727325957,4.510018502,SG,30.77228682,31757,1032,14,1992,2005,ATL,6,smithst01
147,Lou Hudson,25.24844918,144,19.11410371,203,6.134345467,1.734295686,4.288280892,SF,33.64143007,31993,951,13,1967,1979,ATL,3,hudsolo01
148,Rajon Rondo,25.24566319,242,11.75721227,90,13.48845092,2.021176685,4.915923946,PG,33.3979442,22744,681,10,2007,2016,BOS,3,rondora01
149,Fat Lever,25.23486621,121,22.25811981,352,2.976746391,2.428536805,5.725265465,PG,31.56875,25255,800,11,1983,1994,DEN,3,leverfa01
150,Deron Williams,25.20716773,162,17.74240672,163,7.46476101,1.982674809,3.922298349,PG,35.33709273,28199,798,11,2006,2016,UTA,4,willide01
151,Amar'e Stoudemire,25.19761189,166,17.57142883,157,7.626183065,1.877507582,5.715913685,PF,32.17109827,27828,865,14,2003,2016,PHO,4,stoudam01
152,Lenny Wilkens,25.06267188,139,19.65318973,228,5.409482148,1.654264002,3.29495617,PG,35.46625767,40467,1141,15,1961,1975,STL,4,wilkele01
153,Brad Daugherty,24.82425283,138,19.70485176,243,5.119401068,2.805479162,6.030920646,C,36.72156197,21629,589,8,1987,1994,CLE,1,daughbr01
154,Larry Jones,24.68970319,154,18.52795375,202,6.161749433,2.440974014,5.476950336,SG,34.41979522,20170,586,8,1965,1974,DNR,5,jonesla01
155,Bill Walton,24.68371716,185,15.25285174,133,9.430865421,3.165510023,7.709600496,C,27.94390716,14447,517,10,1975,1987,POR,4,waltobi01
156,Don Nelson,24.53785975,225,12.66138711,103,11.87647264,1.730668425,3.13792735,SF,20.69326683,24894,1203,14,1963,1976,BOS,3,nelsodo01
157,Willie Wise,24.53341029,254,10.87403726,85,13.65937303,1.867356149,5.251539442,SF,33.76357827,21136,626,9,1970,1978,UTS,5,wisewi01
158,Ron Harper,24.47856725,210,13.27021781,115,11.20834944,1.427134025,4.693218452,SG,30.50758252,34199,1121,15,1987,2001,CHI,4,harpero01
159,Jerome Kersey,24.33845346,244,11.71325057,98,12.62520289,1.318729202,4.120927186,SF,24.63565285,31509,1279,17,1985,2001,POR,6,kerseje01
160,Toni Kukoc,24.30450732,186,15.22404531,139,9.080462009,1.828976079,4.031188381,SF,26.32380952,24876,945,13,1994,2006,CHI,4,kukocto01
161,Otis Thorpe,24.12203852,155,18.51661539,221,5.605423127,1.398682056,3.100527029,PF,31.51610487,42074,1335,17,1985,2001,HOU,9,thorpot01
162,Larry Johnson,24.11770931,161,18.01867588,206,6.099033432,2.236174031,3.69099218,PF,36.32858991,28082,773,10,1992,2001,NYK,2,johnsla02
163,Peja Stojakovic,24.07121529,140,19.49210167,268,4.579113614,1.891411931,5.410674803,SF,33.45050056,30072,899,13,1999,2011,SAC,6,stojape01
164,Spencer Haywood,23.99067481,159,18.21319265,214,5.777482161,1.359170656,8.464502729,PF,34.71991001,30866,889,13,1970,1983,SEA,6,haywosp01
165,Gail Goodrich,23.9153163,246,11.36320229,100,12.55211401,0.940890947,5.611436168,SG,32.53735374,36149,1111,14,1966,1979,LAL,3,goodrga01
166,Bryon Russell,23.87593808,262,10.27591783,86,13.60002025,1.387524177,4.326850536,SF,24.19238901,22886,946,13,1994,2006,UTA,4,russebr01
167,Buck Williams,23.75758716,149,18.87196879,255,4.885618367,1.534345606,3.937231106,PF,32.63180212,46174,1415,17,1982,1998,POR,3,willibu01
168,Doc Rivers,23.69638373,156,18.51446271,240,5.181921019,2.321748593,4.19022184,PG,27.47089947,25960,945,13,1984,1996,ATL,4,riverdo01
169,Mark Price,23.69044035,132,20.7676107,356,2.922829654,2.247998844,4.139537485,PG,30.23537061,23251,769,12,1987,1998,CLE,4,pricema01
