"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
152,"Doc Rivers",25.4856631518188,2.32038400273346,4.18775530665289,"PG",27.4708994708995,25960,945,13,1984,1996,4,"riverdo01"
153,"Amar'e Stoudemire",25.4005308366089,1.8759487284878,5.71264709772505,"PF",32.171098265896,27828,865,14,2003,2016,4,"stoudam01"
154,"Buck Williams",25.1147158692279,1.53483446835129,3.93375278417527,"PF",32.6318021201413,46174,1415,17,1982,1998,3,"willibu01"
155,"Mark Price",24.9773378050095,2.24677748915061,4.1362156825282,"PG",30.2353706111834,23251,769,12,1987,1998,4,"pricema01"
156,"Sam Perkins",24.9724016275844,1.50976664602407,3.68778158549818,"PF",28.4810736407433,41383,1453,17,1985,2001,4,"perkisa01"
157,"Otis Thorpe",24.533825603465,1.39710606605254,2.98413879575535,"PF",31.5161048689139,42074,1335,17,1985,2001,9,"thorpot01"
158,"Archie Clark",24.4883432828379,1.67975413117694,4.47820519163621,"PG",32.6231155778895,25968,796,10,1967,1976,6,"clarkar01"
159,"Larry Johnson",24.4428458158407,2.24097123711574,3.72406488362636,"PF",36.3285899094437,28082,773,10,1992,2001,2,"johnsla02"
160,"Rajon Rondo",24.4198206746968,2.02743621025897,4.45923730139868,"PG",33.3979441997063,22744,681,10,2007,2016,3,"rondora01"
161,"Don Nelson",24.3901310423045,1.72928128213207,2.78831707820729,"SF",20.6932668329177,24894,1203,14,1963,1976,3,"nelsodo01"
162,"Shane Battier",24.3887003527807,1.96947345153616,3.35306948289384,"SF",30.33608815427,33036,1089,13,2002,2014,3,"battish01"
163,"Jerome Kersey",24.0693435131522,1.31755181870792,3.06133874739839,"SF",24.635652853792,31509,1279,17,1985,2001,6,"kerseje01"
164,"Kawhi Leonard",24.0606916760294,4.41230947978172,5.07160091690171,"SF",29.9422492401216,9851,329,5,2012,2016,1,"leonaka01"
165,"Larry Costello",23.9768739086405,1.90793665439222,3.21938753526196,"PG",29.9063324538259,22669,758,12,1955,1968,3,"costela01"
166,"Carmelo Anthony",23.9600481282087,1.79503644900192,4.04180636046736,"SF",36.6186813186813,33323,910,13,2004,2016,2,"anthoca01"
167,"Louie Dampier",23.9583455746497,1.03487140998277,3.5075725953049,"PG",33.9027128157156,36242,1069,12,1968,1979,2,"dampilo01"
168,"Terry Cummings",23.8184818450861,1.15472336379028,3.94058687871157,"PF",28.5050270688322,36857,1293,18,1983,2000,7,"cummite01"
169,"Ron Harper",23.6539310071348,1.4259622432759,4.69015138788638,"SG",30.5075825156111,34199,1121,15,1987,2001,4,"harpero01"
170,"Toni Kukoc",23.6039528793007,1.82776836003935,3.79397754167476,"SF",26.3238095238095,24876,945,13,1994,2006,4,"kukocto01"
171,"Paul Millsap",23.5859666247748,2.68137271561595,3.39206142653993,"PF",28.6287192755498,22130,773,10,2007,2016,2,"millspa01"
172,"Gail Goodrich",23.5246921915944,0.942811220236721,5.19068620745658,"SG",32.5373537353735,36149,1111,14,1966,1979,3,"goodrga01"
173,"Clifford Ray",23.2171734254758,1.81288167482262,3.28296502612623,"C",25.6812796208531,21675,844,10,1972,1981,2,"raycl01"
174,"Bernard King",23.0589441572989,1.68583716166624,4.45513537371948,"SF",33.6485587583149,30351,902,14,1978,1993,5,"kingbe01"
